interaction_key,condition,relationship_raw,relationship,canonical_r,null_z,null_mean,null_std,T,D_features,cca_a_std,cca_b_std,cca_a_max_abs,cca_b_max_abs
V00_S0080_I00000372,naturalistic,familiar,familiar,0.5414035393230363,8.798531238867909,-0.0030436920979380333,0.06187933152022625,4800,31,0.6725360032889486,0.4333834485038279,6.297665275428906,3.331666702280836
V00_S0080_I00000374,naturalistic,familiar,familiar,0.6892641074482151,9.369046502385638,-0.006687725282816506,0.07428203420207398,1980,31,0.49539965796808677,0.4237725220739228,2.469113642586876,2.5301977636895074
V00_S0080_I00000376,naturalistic,familiar,familiar,0.7080690275612201,10.603207599609467,-0.001998314491739622,0.06696722056815266,3202,31,0.5828144077691619,0.5602620886746358,4.559151484579621,4.279968056628214
V00_S0080_I00000379,naturalistic,familiar,familiar,0.4611181165450897,7.755193610400843,-0.013757243403827127,0.06123320497273464,6636,31,0.647096082865824,0.5932335001040402,5.5067850328086685,4.84373781285938
V00_S0080_I00000382,naturalistic,familiar,familiar,0.5647508963374518,8.221189810508355,0.003605488853499275,0.0682559848900088,5392,31,0.636250628474173,0.822942313157379,7.336701617213952,8.071494850513997
V00_S0080_I00000385,naturalistic,familiar,familiar,0.6718986929025922,8.010874191621197,0.0032881081241614594,0.08346287418640898,2945,31,0.49734651401527674,0.6573962649205239,4.160512626331386,6.105562289203469
V00_S0080_I00000386,naturalistic,familiar,familiar,0.7170449037853468,9.461071989173961,0.0026202256719509306,0.07551202220328647,3659,31,0.7000289290270229,0.7321587433753705,7.524596924095532,6.979449788861291
V00_S0080_I00000503,naturalistic,familiar,familiar,0.47838739334292885,8.091246897890455,-0.0010540775933430516,0.05925433706160562,7038,31,0.71399624865171,0.6547004118829053,6.039447145945603,5.374112030369107
V00_S0152_I00000135,naturalistic,familiar,familiar,0.623927831070992,8.008416112284575,-0.00778820552201122,0.07888152010782473,2880,31,0.6761386104308968,0.6354839558241221,5.6512971189294765,5.296496687951023
V00_S0152_I00000140,naturalistic,familiar,familiar,0.4563522381635137,7.0261871680558405,0.009612023859938128,0.06358216819709195,8154,31,0.8961396988736553,0.5168615941888063,14.349808638746033,4.663471160038136
V00_S0152_I00000371,naturalistic,familiar,familiar,0.8478449792045293,7.70693103029208,-0.010563565482124919,0.11138137104285491,2040,31,0.6399940015903482,0.692254958070385,4.958955116330542,4.061984346628322
V00_S0152_I00000372,naturalistic,familiar,familiar,0.5683378766092972,6.78238102449295,-0.007129966989030039,0.0848474660329702,3060,31,0.47338587027472623,0.5551165099727562,3.228270289957792,2.7264946193529016
V00_S0152_I00000373,naturalistic,familiar,familiar,0.48430909072961154,7.789911481716723,0.0013082923711649585,0.062003374427562034,4380,31,0.42507147348795243,0.5245514483069637,2.7533631043498055,2.693083116779435
V00_S0152_I00000374,naturalistic,familiar,familiar,0.6014948092786588,9.132463380842614,-0.003961709551308868,0.06629717454986442,4540,31,0.3909498983573386,0.6274988195155888,2.60568250612353,4.078743751520166
V00_S0152_I00000376,naturalistic,familiar,familiar,0.5722564488616553,8.651937048439619,-0.0006009039119072113,0.06621145641332164,5192,31,0.4960147442074044,0.6274798858334538,3.7639691784461546,5.069611398053359
V00_S0152_I00000377,naturalistic,familiar,familiar,0.48644220304862007,7.189661691937207,-0.00013925512499265004,0.067677935210677,5760,31,0.6486833140244983,0.4888773968180754,3.732924208029657,2.620684191570458
V00_S0152_I00000378,naturalistic,familiar,familiar,0.8300654770835617,8.873475852240514,-0.01190243047672448,0.09488591861640025,1618,31,0.6139153709395119,0.7774552042548654,3.7747809231294704,5.733767802925381
V00_S0152_I00000381,naturalistic,familiar,familiar,0.48418825471808136,6.911214012519275,-0.01178853175595529,0.07176406136108687,4036,31,0.5827683797486818,0.5932931720350172,4.900789622722414,4.626300209373098
V00_S0152_I00000383,naturalistic,familiar,familiar,0.5682486527322844,7.333855815193016,0.0029742011761050118,0.07707738818441745,3840,31,0.5510839047506849,0.5210322377272963,4.142628819481128,4.163425898837662
V00_S0152_I00000384,naturalistic,familiar,familiar,0.5054309247144223,7.972268037160134,0.010198783969471388,0.0621193540453717,7560,31,0.6385568568578007,0.5499760125237039,6.792951761282119,3.684549870236578
V00_S0152_I00000385,naturalistic,familiar,familiar,0.6197026967768992,9.542609310171098,-0.0042125571031920075,0.06538203897911696,4500,31,0.6085581155508085,0.6411638949180145,4.055335250344882,3.5677130029092083
V00_S0152_I00000386,naturalistic,familiar,familiar,0.47809531031425606,6.538390243653236,-0.0009000390942854844,0.07325891107119196,5607,31,0.7829775727439267,0.7770504362763017,11.93588515518646,5.256187022675158
V00_S0152_I00000387,naturalistic,familiar,familiar,0.6379357980634746,9.695302443083035,-0.009810538510620848,0.06681032803017095,4284,31,0.5239214224362536,0.8233877101100988,4.378280207124746,12.49617217093291
V00_S0152_I00000503,naturalistic,familiar,familiar,0.5996840459554788,8.895172045990247,-0.009036398801106458,0.06843267804257741,5601,31,0.7857183080663204,0.6851929504818981,5.47845998170073,5.822397341959538
V00_S0255_I00000126,naturalistic,familiar,familiar,0.4919475740447012,7.855769879661369,0.0030449857956534147,0.062234840854340605,5522,31,0.6767107999732737,0.5626450409851792,9.179815380213988,3.5737569114580094
V00_S0255_I00000128,naturalistic,familiar,familiar,0.3797754444415633,5.761552670025326,-0.00011429355029486803,0.06593530594074883,6913,31,0.6738018718177059,0.6964095227057441,6.478047876115314,11.743016970512558
V00_S0255_I00000129,naturalistic,familiar,familiar,0.6237439243966563,9.220437257445417,-0.01083105351371252,0.06882265560648498,4424,31,0.6145180233858988,0.6792856633432977,4.056082246288915,5.679589709998131
V00_S0255_I00000132,naturalistic,familiar,familiar,0.7548696920476473,10.191556645416677,-0.005193087149969105,0.07457769265693383,2363,31,0.6277106381913975,0.511309922516245,4.646486293757333,4.703972619085783
V00_S0255_I00000134,naturalistic,familiar,familiar,0.6836644072973775,11.55107034193434,0.00781136775084534,0.058509992540946985,3344,31,0.4137248800069508,0.6859521198840338,4.065975483693371,5.525789002100843
V00_S0255_I00000137,naturalistic,familiar,familiar,0.7009564597026822,10.084803600932677,-0.002845033265375558,0.06978831921952032,4056,31,0.6318833686193422,0.609923174082069,9.249622431241626,12.075864032844159
V00_S0255_I00000462,naturalistic,familiar,familiar,0.5308522487795788,8.21085018859952,-0.008325000410558326,0.06566643365857118,5562,31,0.6330659796414376,0.7886588006093428,4.571441281383066,5.217960924572128
V00_S0255_I00000497,naturalistic,familiar,familiar,0.6492635164891825,8.827479543911805,-0.004058940913990961,0.07401007888528739,4055,31,0.8495752451698313,0.4280746545222338,7.671974484285647,2.7290622033303884
V00_S0274_I00000126,naturalistic,familiar,familiar,0.4614076891010951,7.689225428883448,0.0006883889865717788,0.059917517619381896,4620,31,0.4839870147237676,0.5676028959055615,4.428582943378503,4.792835839685216
